word,count
drivers,  0.015 
wouldn,  0.007 
admitted,  0.012 
hospital,  0.031 
disease,  0.012 
women,  0.064 
maternity,  0.02 
rid,  0.007 
phil,  0.029 
twyford,  0.04 
portfolio,  0.014 
redevelopment,  0.012 
previous,  0.048 
campus,  0.005 
councillors,  0.005 
happened,  0.008 
owned,  0.013 
exercise,  0.007 
adds,  0.005 
uses,  0.007 
donated,  0.006 
covered,  0.007 
impacts,  0.017 
industry,  0.119 
annually,  0.008 
nicola,  0.017 
willis,  0.016 
victoria,  0.013 
university,  0.039 
oppose,  0.006 
proposal,  0.025 
opposed,  0.01 
ill,  0.007 
engaged,  0.007 
spin,  0.005 
listening,  0.006 
appears,  0.013 
statistics,  0.018 
media,  0.034 
recommendation,  0.005 
graduates,  0.007 
fighting,  0.009 
gerry,  0.028 
brownlee,  0.046 
andrew,  0.026 
college,  0.023 
prior,  0.013 
